GIS Code, Interview time
G22-idc1, 9/18 1400-1415
G22-idc5, 9/20 1800-1815
G22-idc9, 9/22 1900-1915
G22-idc13, 9/24 2000-2015
G22-idc17, 9/18 1415-1430
G22-idc21, 9/20 1815-1830
G22-idc25, 9/22 1915-1930
G22-idc29, 9/24 2015-2030
G22-idc33, 9/18 1430-1445
G22-idc37, 9/20 1830-1845
G22-idc41, 9/22 1930-1945
G22-idc45, 9/24 2030-2045
G22-idc49, 9/18 1445-1500
G22-idc53, 9/20 1845-1900
G22-idc57, 9/22 1945-2000
G22-idc61, 9/24 2045-2100
G22-idc65, 9/18 1400-1415
G22-idc69, 9/20 1800-1815
G22-idc73, 9/22 1900-1915
G22-idc77, 9/24 2000-2015
G22-idc81, 9/18 1415-1430
G22-idc85, 9/20 1815-1830
G22-idc89, 9/22 1915-1930
G22-idc93, 9/24 2015-2030
G22-idc97, 9/18 1430-1445
G22-idc101, 9/20 1830-1845
G22-idc105, 9/22 1930-1945
G22-idc109, 9/24 2030-2045
G22-idc111, 9/18 1445-1500
G22-idc115, 9/20 1845-1900
G22-idc119, 9/22 1945-2000
G22-idc123, 9/24 2045-2100
G22-idc127, 9/18 1400-1415
G22-idc131, 9/20 1800-1815
G22-idc135, 9/22 1900-1915
G22-idc139, 9/24 2000-2015
G22-idc143, 9/18 1415-1430
G22-idc147, 9/20 1815-1830
G22-idc3, 9/19 0900-0915
G22-idc7, 9/19 1000-1015
G22-idc11, 9/19 1100-1115
G22-idc15, 9/23 1900-1915
G22-idc19, 9/19 0915-0930
G22-idc23, 9/19 1015-1030
G22-idc27, 9/19 1115-1130
G22-idc31, 9/23 1915-1930
G22-idc35, 9/19 0930-0945
G22-idc39, 9/19 1030-1045
G22-idc43, 9/19 1130-1145
G22-idc47, 9/23 1930-1945
G22-idc51, 9/19 0945-1000
G22-idc55, 9/19 1045-1100
G22-idc59, 9/19 1145-1200
G22-idc63, 9/23 1945-2000
G22-idc67, 9/19 0900-0915
G22-idc71, 9/19 1000-1015
G22-idc75, 9/19 1100-1115
G22-idc79, 9/23 1900-1915
G22-idc83, 9/19 0915-0930
G22-idc87, 9/19 1015-1030
G22-idc91, 9/19 1115-1130
G22-idc95, 9/23 1915-1930
G22-idc99, 9/19 0930-0945
G22-idc103, 9/19 1030-1045
G22-idc107, 9/19 1130-1145
G22-idc113, 9/23 1930-1945
G22-idc117, 9/19 0945-1000
G22-idc121, 9/19 1045-1100
G22-idc125, 9/19 1145-1200
G22-idc129, 9/23 1945-2000
G22-idc133, 9/19 0900-0915
G22-idc137, 9/19 1000-1015
G22-idc141, 9/19 1100-1115
G22-idc145, 9/23 1900-1915
G22-idc149, 9/19 0915-0930
G22-idc4, 9/19 1015-1030
G22-idc8, 9/19 1115-1130
G22-idc12, 9/22 1915-1930
G22-idc16, 9/23 1915-1930
G22-idc20, 9/18 1430-1445
G22-idc24, 9/19 0930-0945
G22-idc28, 9/19 1030-1045
G22-idc32, 9/19 1130-1145
G22-idc36, 9/20 1830-1845
G22-idc40, 9/22 1930-1945
G22-idc44, 9/23 1930-1945
G22-idc48, 9/18 1445-1500
G22-idc52, 9/19 0945-1000
G22-idc56, 9/19 1045-1100
G22-idc60, 9/19 1145-1200
G22-idc64, 9/20 1845-1900
G22-idc68, 9/22 1945-2000
G22-idc72, 9/23 1945-2000
G22-idc76, 9/18 1400-1415
G22-idc80, 9/19 0900-0915
G22-idc84, 9/19 1000-1015
G22-idc88, 9/19 1100-1115
G22-idc92, 9/20 1800-1815
G22-idc96, 9/22 1900-1915
G22-idc100, 9/23 1900-1915
G22-idc104, 9/18 1415-1430
G22-idc108, 9/19 0915-0930
G22-idc110, 9/19 1015-1030
G22-idc114, 9/19 1115-1130
G22-idc118, 9/20 1815-1830
G22-idc122, 9/22 1915-1930
G22-idc126, 9/23 1915-1930
G22-idc130, 9/18 1430-1445
G22-idc134, 9/19 0930-0945
G22-idc138, 9/19 1030-1045
G22-idc142, 9/19 1130-1145
G22-idc146, 9/20 1830-1845
G22-idc150, 9/22 1930-1945
G22-idc2, 9/24 2015-2030
G22-idc6, 9/24 2030-2045
G22-idc10, 9/24 2045-2100
G22-idc14, 9/24 2000-2015
G22-idc18, 9/24 2015-2030
G22-idc22, 9/23 1930-1945
G22-idc26, 9/24 2030-2045
G22-idc30, 9/18 1445-1500
G22-idc34, 9/19 0945-1000
G22-idc38, 9/19 1045-1100
G22-idc42, 9/19 1145-1200
G22-idc46, 9/20 1845-1900
G22-idc50, 9/22 1945-2000
G22-idc54, 9/23 1945-2000
G22-idc58, 9/24 2045-2100
G22-idc62, 9/18 1400-1415
G22-idc66, 9/19 0900-0915
G22-idc70, 9/19 1000-1015
G22-idc74, 9/19 1100-1115
G22-idc78, 9/20 1800-1815
G22-idc82, 9/22 1900-1915
G22-idc86, 9/23 1900-1915
G22-idc90, 9/24 2000-2015
G22-idc94, 9/18 1415-1430
G22-idc98, 9/19 0915-0930
G22-idc102, 9/19 1015-1030
G22-idc106, 9/19 1115-1130
G22-idc112, 9/20 1815-1830
G22-idc116, 9/22 1915-1930
G22-idc120, 9/23 1915-1930
G22-idc124, 9/24 2015-2030
G22-idc128, 9/18 1430-1445
G22-idc132, 9/19 0930-0945
G22-idc136, 9/19 1030-1045
G22-idc140, 9/19 1130-1145
G22-idc144, 9/20 1830-1845
G22-idc148, 9/22 1930-1945
